Date	Time	Global_Active_Power
17/12/2006	03:58:00	2.396
17/12/2006	03:59:00	2.422
17/12/2006	04:00:00	2.402
17/12/2006	04:01:00	0.430
17/12/2006	04:02:00	0.666
17/12/2006	04:03:00	2.420
17/12/2006	04:04:00	2.390
17/12/2006	04:05:00	2.446
17/12/2006	04:06:00	0.978
17/12/2006	04:07:00	0.400
17/12/2006	04:08:00	2.432
17/12/2006	04:09:00	2.500
17/12/2006	04:10:00	2.520
17/12/2006	04:11:00	0.788
17/12/2006	04:12:00	0.402
17/12/2006	04:13:00	2.238
17/12/2006	04:14:00	2.512
17/12/2006	04:15:00	2.486
17/12/2006	04:16:00	1.936
17/12/2006	04:17:00	0.376
17/12/2006	04:18:00	0.908
17/12/2006	04:19:00	2.336
17/12/2006	04:20:00	2.346
17/12/2006	04:21:00	2.328
17/12/2006	04:22:00	1.708
17/12/2006	04:23:00	0.206
17/12/2006	04:24:00	0.516
17/12/2006	04:25:00	2.426
17/12/2006	04:26:00	2.430
17/12/2006	04:27:00	2.424
17/12/2006	04:28:00	2.306
17/12/2006	04:29:00	0.288
17/12/2006	04:30:00	0.756
17/12/2006	04:31:00	3.498
17/12/2006	04:32:00	3.522
17/12/2006	04:33:00	3.460
17/12/2006	04:34:00	3.434
17/12/2006	04:35:00	1.646
17/12/2006	04:36:00	1.336
17/12/2006	04:37:00	2.874
17/12/2006	04:38:00	3.410
17/12/2006	04:39:00	3.412
17/12/2006	04:40:00	3.386
17/12/2006	04:41:00	1.844
17/12/2006	04:42:00	1.414
17/12/2006	04:43:00	3.352
17/12/2006	04:44:00	3.500
17/12/2006	04:45:00	3.516
17/12/2006	04:46:00	3.174
17/12/2006	04:47:00	1.428
17/12/2006	04:48:00	1.994
17/12/2006	04:49:00	3.492
17/12/2006	04:50:00	3.460
17/12/2006	04:51:00	3.492
17/12/2006	04:52:00	3.482
17/12/2006	04:53:00	1.492
17/12/2006	04:54:00	1.326
17/12/2006	04:55:00	3.282
17/12/2006	04:56:00	3.422
17/12/2006	04:57:00	3.424
17/12/2006	04:58:00	3.254
17/12/2006	04:59:00	1.320
17/12/2006	05:00:00	2.294
17/12/2006	05:01:00	3.400
17/12/2006	05:02:00	3.402
17/12/2006	05:03:00	3.418
17/12/2006	05:04:00	2.994
17/12/2006	05:05:00	1.326
17/12/2006	05:06:00	2.020
17/12/2006	05:07:00	3.378
17/12/2006	05:08:00	3.372
17/12/2006	05:09:00	3.374
17/12/2006	05:10:00	3.426
17/12/2006	05:11:00	1.462
17/12/2006	05:12:00	1.834
17/12/2006	05:13:00	3.462
17/12/2006	05:14:00	3.486
17/12/2006	05:15:00	2.910
17/12/2006	05:16:00	0.936
17/12/2006	05:17:00	0.338
17/12/2006	05:18:00	1.926
17/12/2006	05:19:00	2.420
17/12/2006	05:20:00	2.438
17/12/2006	05:21:00	2.430
17/12/2006	05:22:00	2.454
17/12/2006	05:23:00	0.424
17/12/2006	05:24:00	0.716
17/12/2006	05:25:00	2.462
17/12/2006	05:26:00	2.460
17/12/2006	05:27:00	2.418
17/12/2006	05:28:00	1.000
17/12/2006	05:29:00	0.298
17/12/2006	05:30:00	1.650
17/12/2006	05:31:00	2.310
17/12/2006	05:32:00	2.332
17/12/2006	05:33:00	2.242
17/12/2006	05:34:00	0.224
17/12/2006	05:35:00	0.752
17/12/2006	05:36:00	2.330
17/12/2006	05:37:00	2.322
17/12/2006	05:38:00	2.312
17/12/2006	05:39:00	0.760
17/12/2006	05:40:00	0.364
17/12/2006	05:41:00	2.336
17/12/2006	05:42:00	2.312
17/12/2006	05:43:00	2.332
17/12/2006	05:44:00	0.856
17/12/2006	05:45:00	0.864
17/12/2006	05:46:00	2.302
17/12/2006	05:47:00	2.324
17/12/2006	05:48:00	1.852
17/12/2006	05:49:00	0.226
17/12/2006	05:50:00	2.184
17/12/2006	05:51:00	2.380
17/12/2006	05:52:00	1.920
17/12/2006	05:53:00	0.254
17/12/2006	05:54:00	2.164
17/12/2006	05:55:00	2.554
17/12/2006	05:56:00	2.026
17/12/2006	05:57:00	0.414
17/12/2006	05:58:00	2.106
17/12/2006	05:59:00	2.522
17/12/2006	06:00:00	2.076
17/12/2006	06:01:00	0.402
17/12/2006	06:02:00	2.118
17/12/2006	06:03:00	2.486
17/12/2006	06:04:00	1.340
17/12/2006	06:05:00	0.666
17/12/2006	06:06:00	2.440
17/12/2006	06:07:00	2.426
17/12/2006	06:08:00	1.278
17/12/2006	06:09:00	0.430
17/12/2006	06:10:00	2.426
17/12/2006	06:11:00	2.382
17/12/2006	06:12:00	2.406
17/12/2006	06:13:00	0.330
17/12/2006	06:14:00	1.208
17/12/2006	06:15:00	2.406
17/12/2006	06:16:00	2.442
17/12/2006	06:17:00	2.426
17/12/2006	06:18:00	2.432
17/12/2006	06:19:00	2.414
17/12/2006	06:20:00	0.484
17/12/2006	06:21:00	0.312
17/12/2006	06:22:00	2.352
17/12/2006	06:23:00	2.428
17/12/2006	06:24:00	2.582
17/12/2006	06:25:00	2.784
17/12/2006	06:26:00	2.680
17/12/2006	06:27:00	1.420
17/12/2006	06:28:00	0.908
17/12/2006	06:29:00	3.194
17/12/2006	06:30:00	3.328
17/12/2006	06:31:00	2.670
17/12/2006	06:32:00	1.238
17/12/2006	06:33:00	1.120
17/12/2006	06:34:00	0.592
17/12/2006	06:35:00	0.800
17/12/2006	06:36:00	0.820
17/12/2006	06:37:00	0.796
17/12/2006	06:38:00	0.798
17/12/2006	06:39:00	0.694
17/12/2006	06:40:00	0.694
17/12/2006	06:41:00	0.758
17/12/2006	06:42:00	0.682
17/12/2006	06:43:00	0.664
17/12/2006	06:44:00	0.642
17/12/2006	06:45:00	0.660
17/12/2006	06:46:00	0.636
17/12/2006	06:47:00	0.660
17/12/2006	06:48:00	0.638
17/12/2006	06:49:00	0.478
17/12/2006	06:50:00	0.316
17/12/2006	06:51:00	0.330
17/12/2006	06:52:00	0.380
17/12/2006	06:53:00	0.522
17/12/2006	06:54:00	0.422
17/12/2006	06:55:00	0.262
17/12/2006	06:56:00	0.220
17/12/2006	06:57:00	0.246
17/12/2006	06:58:00	0.212
17/12/2006	06:59:00	0.242
17/12/2006	07:00:00	0.222
17/12/2006	07:01:00	0.240
17/12/2006	07:02:00	0.216
17/12/2006	07:03:00	0.228
17/12/2006	07:04:00	0.210
17/12/2006	07:05:00	0.276
17/12/2006	07:06:00	0.322
17/12/2006	07:07:00	0.336
17/12/2006	07:08:00	0.318
17/12/2006	07:09:00	0.314
17/12/2006	07:10:00	0.328
17/12/2006	07:11:00	0.308
17/12/2006	07:12:00	0.326
17/12/2006	07:13:00	0.304
17/12/2006	07:14:00	2.206
17/12/2006	07:15:00	2.338
17/12/2006	07:16:00	2.362
17/12/2006	07:17:00	2.356
17/12/2006	07:18:00	2.324
17/12/2006	07:19:00	2.264
17/12/2006	07:20:00	2.280
17/12/2006	07:21:00	2.258
17/12/2006	07:22:00	2.306
17/12/2006	07:23:00	2.288
17/12/2006	07:24:00	2.300
17/12/2006	07:25:00	2.346
17/12/2006	07:26:00	2.378
17/12/2006	07:27:00	2.346
17/12/2006	07:28:00	2.350
17/12/2006	07:29:00	2.326
17/12/2006	07:30:00	2.336
17/12/2006	07:31:00	2.326
17/12/2006	07:32:00	0.504
17/12/2006	07:33:00	0.268
17/12/2006	07:34:00	1.734
17/12/2006	07:35:00	2.318
17/12/2006	07:36:00	2.322
17/12/2006	07:37:00	2.302
17/12/2006	07:38:00	2.318
17/12/2006	07:39:00	2.302
17/12/2006	07:40:00	2.290
17/12/2006	07:41:00	2.376
17/12/2006	07:42:00	0.368
17/12/2006	07:43:00	0.332
17/12/2006	07:44:00	1.734
17/12/2006	07:45:00	2.416
17/12/2006	07:46:00	2.400
17/12/2006	07:47:00	2.418
17/12/2006	07:48:00	2.388
17/12/2006	07:49:00	2.406
17/12/2006	07:50:00	2.378
17/12/2006	07:51:00	1.164
17/12/2006	07:52:00	0.300
17/12/2006	07:53:00	0.700
17/12/2006	07:54:00	2.376
17/12/2006	07:55:00	2.320
17/12/2006	07:56:00	2.278
17/12/2006	07:57:00	2.280
17/12/2006	07:58:00	2.278
17/12/2006	07:59:00	2.294
17/12/2006	08:00:00	2.280
17/12/2006	08:01:00	2.300
17/12/2006	08:02:00	0.210
17/12/2006	08:03:00	0.216
17/12/2006	08:04:00	2.256
17/12/2006	08:05:00	2.312
17/12/2006	08:06:00	2.288
17/12/2006	08:07:00	2.308
17/12/2006	08:08:00	2.272
17/12/2006	08:09:00	2.354
17/12/2006	08:10:00	0.616
17/12/2006	08:11:00	0.282
17/12/2006	08:12:00	1.780
17/12/2006	08:13:00	2.348
17/12/2006	08:14:00	2.368
17/12/2006	08:15:00	2.362
17/12/2006	08:16:00	2.378
17/12/2006	08:17:00	2.430
17/12/2006	08:18:00	2.512
17/12/2006	08:19:00	0.616
17/12/2006	08:20:00	0.398
17/12/2006	08:21:00	1.528
17/12/2006	08:22:00	2.484
17/12/2006	08:23:00	2.462
17/12/2006	08:24:00	2.502
17/12/2006	08:25:00	2.484
17/12/2006	08:26:00	2.486
17/12/2006	08:27:00	2.040
17/12/2006	08:28:00	0.402
17/12/2006	08:29:00	0.380
17/12/2006	08:30:00	1.876
17/12/2006	08:31:00	2.360
17/12/2006	08:32:00	2.364
17/12/2006	08:33:00	2.336
17/12/2006	08:34:00	2.352
17/12/2006	08:35:00	2.340
17/12/2006	08:36:00	2.360
17/12/2006	08:37:00	0.914
17/12/2006	08:38:00	0.290
17/12/2006	08:39:00	1.058
17/12/2006	08:40:00	2.374
17/12/2006	08:41:00	2.388
17/12/2006	08:42:00	2.358
17/12/2006	08:43:00	2.294
17/12/2006	08:44:00	2.278
17/12/2006	08:45:00	2.280
17/12/2006	08:46:00	0.268
17/12/2006	08:47:00	0.222
17/12/2006	08:48:00	1.622
17/12/2006	08:49:00	2.296
17/12/2006	08:50:00	2.278
17/12/2006	08:51:00	2.296
17/12/2006	08:52:00	2.260
17/12/2006	08:53:00	2.940
17/12/2006	08:54:00	2.792
17/12/2006	08:55:00	1.158
17/12/2006	08:56:00	0.932
17/12/2006	08:57:00	2.514
17/12/2006	08:58:00	2.984
17/12/2006	08:59:00	2.996
17/12/2006	09:00:00	2.940
17/12/2006	09:01:00	3.278
17/12/2006	09:02:00	5.908
17/12/2006	09:03:00	7.064
17/12/2006	09:04:00	6.926
17/12/2006	09:05:00	6.580
17/12/2006	09:06:00	6.050
17/12/2006	09:07:00	6.104
17/12/2006	09:08:00	4.762
17/12/2006	09:09:00	4.506
17/12/2006	09:10:00	4.472
17/12/2006	09:11:00	3.708
17/12/2006	09:12:00	0.724
17/12/2006	09:13:00	1.892
17/12/2006	09:14:00	2.012
17/12/2006	09:15:00	2.372
17/12/2006	09:16:00	2.386
17/12/2006	09:17:00	2.400
17/12/2006	09:18:00	2.424
17/12/2006	09:19:00	1.066
17/12/2006	09:20:00	0.380
17/12/2006	09:21:00	1.632
17/12/2006	09:22:00	2.410
17/12/2006	09:23:00	2.380
17/12/2006	09:24:00	2.402
17/12/2006	09:25:00	2.438
17/12/2006	09:26:00	2.432
17/12/2006	09:27:00	1.640
17/12/2006	09:28:00	0.424
17/12/2006	09:29:00	1.410
17/12/2006	09:30:00	2.722
17/12/2006	09:31:00	2.712
17/12/2006	09:32:00	2.706
17/12/2006	09:33:00	2.488
17/12/2006	09:34:00	2.424
17/12/2006	09:35:00	1.258
17/12/2006	09:36:00	0.370
17/12/2006	09:37:00	0.786
17/12/2006	09:38:00	2.474
17/12/2006	09:39:00	2.474
17/12/2006	09:40:00	2.488
17/12/2006	09:41:00	2.486
17/12/2006	09:42:00	2.444
17/12/2006	09:43:00	2.272
17/12/2006	09:44:00	0.338
17/12/2006	09:45:00	0.290
17/12/2006	09:46:00	1.466
17/12/2006	09:47:00	2.324
17/12/2006	09:48:00	2.320
17/12/2006	09:49:00	2.308
17/12/2006	09:50:00	2.314
17/12/2006	09:51:00	2.312
17/12/2006	09:52:00	2.306
17/12/2006	09:53:00	0.444
17/12/2006	09:54:00	0.268
17/12/2006	09:55:00	1.846
17/12/2006	09:56:00	2.308
17/12/2006	09:57:00	2.290
17/12/2006	09:58:00	2.288
17/12/2006	09:59:00	2.296
17/12/2006	10:00:00	2.292
17/12/2006	10:01:00	0.370
17/12/2006	10:02:00	0.472
17/12/2006	10:03:00	3.054
17/12/2006	10:04:00	3.480
17/12/2006	10:05:00	3.572
17/12/2006	10:06:00	3.560
17/12/2006	10:07:00	3.528
17/12/2006	10:08:00	3.490
17/12/2006	10:09:00	2.038
17/12/2006	10:10:00	1.406
17/12/2006	10:11:00	2.840
17/12/2006	10:12:00	3.388
17/12/2006	10:13:00	3.394
17/12/2006	10:14:00	3.360
17/12/2006	10:15:00	1.354
17/12/2006	10:16:00	1.334
17/12/2006	10:17:00	1.358
17/12/2006	10:18:00	1.370
17/12/2006	10:19:00	1.322
17/12/2006	10:20:00	1.304
17/12/2006	10:21:00	1.394
17/12/2006	10:22:00	1.702
17/12/2006	10:23:00	2.242
17/12/2006	10:24:00	3.714
17/12/2006	10:25:00	3.212
17/12/2006	10:26:00	3.694
17/12/2006	10:27:00	3.204
17/12/2006	10:28:00	3.676
17/12/2006	10:29:00	3.666
17/12/2006	10:30:00	3.678
17/12/2006	10:31:00	3.722
17/12/2006	10:32:00	3.716
17/12/2006	10:33:00	3.750
17/12/2006	10:34:00	4.170
17/12/2006	10:35:00	5.776
17/12/2006	10:36:00	5.718
17/12/2006	10:37:00	5.738
17/12/2006	10:38:00	5.714
17/12/2006	10:39:00	5.732
17/12/2006	10:40:00	5.730
17/12/2006	10:41:00	5.848
17/12/2006	10:42:00	5.842
17/12/2006	10:43:00	5.880
17/12/2006	10:44:00	5.872
17/12/2006	10:45:00	5.070
17/12/2006	10:46:00	5.488
17/12/2006	10:47:00	5.898
17/12/2006	10:48:00	5.026
17/12/2006	10:49:00	3.246
17/12/2006	10:50:00	2.712
17/12/2006	10:51:00	3.538
17/12/2006	10:52:00	3.574
17/12/2006	10:53:00	3.016
17/12/2006	10:54:00	3.002
17/12/2006	10:55:00	4.444
17/12/2006	10:56:00	5.568
17/12/2006	10:57:00	4.840
17/12/2006	10:58:00	5.066
17/12/2006	10:59:00	5.570
17/12/2006	11:00:00	3.650
17/12/2006	11:01:00	2.394
17/12/2006	11:02:00	3.024
17/12/2006	11:03:00	3.250
17/12/2006	11:04:00	3.378
17/12/2006	11:05:00	2.264
17/12/2006	11:06:00	3.108
17/12/2006	11:07:00	2.978
17/12/2006	11:08:00	1.966
17/12/2006	11:09:00	1.928
17/12/2006	11:10:00	2.526
17/12/2006	11:11:00	1.510
17/12/2006	11:12:00	1.572
17/12/2006	11:13:00	1.602
17/12/2006	11:14:00	1.562
17/12/2006	11:15:00	1.550
17/12/2006	11:16:00	1.586
17/12/2006	11:17:00	1.658
17/12/2006	11:18:00	1.658
17/12/2006	11:19:00	1.650
17/12/2006	11:20:00	1.676
17/12/2006	11:21:00	2.492
17/12/2006	11:22:00	3.828
17/12/2006	11:23:00	3.822
17/12/2006	11:24:00	3.834
17/12/2006	11:25:00	3.810
17/12/2006	11:26:00	3.824
17/12/2006	11:27:00	3.838
17/12/2006	11:28:00	3.844
17/12/2006	11:29:00	3.824
17/12/2006	11:30:00	3.844
17/12/2006	11:31:00	3.880
17/12/2006	11:32:00	4.004
17/12/2006	11:33:00	3.784
17/12/2006	11:34:00	3.784
17/12/2006	11:35:00	3.792
17/12/2006	11:36:00	2.146
17/12/2006	11:37:00	1.608
17/12/2006	11:38:00	1.828
17/12/2006	11:39:00	1.922
17/12/2006	11:40:00	1.978
17/12/2006	11:41:00	1.930
17/12/2006	11:42:00	1.964
17/12/2006	11:43:00	1.854
17/12/2006	11:44:00	1.762
17/12/2006	11:45:00	1.738
17/12/2006	11:46:00	1.766
17/12/2006	11:47:00	1.746
17/12/2006	11:48:00	1.734
17/12/2006	11:49:00	1.738
17/12/2006	11:50:00	1.958
17/12/2006	11:51:00	1.964
17/12/2006	11:52:00	1.962
17/12/2006	11:53:00	2.050
17/12/2006	11:54:00	2.032
17/12/2006	11:55:00	2.036
17/12/2006	11:56:00	1.964
17/12/2006	11:57:00	1.970
17/12/2006	11:58:00	1.946
17/12/2006	11:59:00	1.970
17/12/2006	12:00:00	1.962
17/12/2006	12:01:00	1.988
17/12/2006	12:02:00	1.972
17/12/2006	12:03:00	1.974
17/12/2006	12:04:00	1.954
17/12/2006	12:05:00	1.958
17/12/2006	12:06:00	2.010
17/12/2006	12:07:00	1.946
17/12/2006	12:08:00	1.928
17/12/2006	12:09:00	1.908
17/12/2006	12:10:00	1.708
17/12/2006	12:11:00	1.564
17/12/2006	12:12:00	1.540
17/12/2006	12:13:00	1.560
17/12/2006	12:14:00	1.584
17/12/2006	12:15:00	1.734
17/12/2006	12:16:00	1.772
17/12/2006	12:17:00	1.874
17/12/2006	12:18:00	1.740
17/12/2006	12:19:00	1.622
17/12/2006	12:20:00	1.854
17/12/2006	12:21:00	1.854
17/12/2006	12:22:00	1.906
17/12/2006	12:23:00	1.946
17/12/2006	12:24:00	3.360
17/12/2006	12:25:00	3.518
17/12/2006	12:26:00	2.438
17/12/2006	12:27:00	1.924
17/12/2006	12:28:00	1.954
17/12/2006	12:29:00	2.018
17/12/2006	12:30:00	2.014
17/12/2006	12:31:00	1.992
17/12/2006	12:32:00	1.996
17/12/2006	12:33:00	2.002
17/12/2006	12:34:00	1.964
17/12/2006	12:35:00	1.930
17/12/2006	12:36:00	1.830
17/12/2006	12:37:00	1.706
17/12/2006	12:38:00	2.930
17/12/2006	12:39:00	3.182
17/12/2006	12:40:00	1.718
17/12/2006	12:41:00	1.716
17/12/2006	12:42:00	1.710
17/12/2006	12:43:00	1.712
17/12/2006	12:44:00	1.702
17/12/2006	12:45:00	1.732
17/12/2006	12:46:00	1.722
17/12/2006	12:47:00	1.712
17/12/2006	12:48:00	1.716
17/12/2006	12:49:00	1.714
17/12/2006	12:50:00	1.710
17/12/2006	12:51:00	1.722
17/12/2006	12:52:00	1.720
17/12/2006	12:53:00	1.714
17/12/2006	12:54:00	1.736
17/12/2006	12:55:00	1.726
17/12/2006	12:56:00	1.712
17/12/2006	12:57:00	1.720
17/12/2006	12:58:00	1.718
17/12/2006	12:59:00	1.704
17/12/2006	13:00:00	1.754
17/12/2006	13:01:00	1.798
17/12/2006	13:02:00	1.742
17/12/2006	13:03:00	1.740
17/12/2006	13:04:00	1.742
17/12/2006	13:05:00	1.750
17/12/2006	13:06:00	1.736
17/12/2006	13:07:00	1.712
17/12/2006	13:08:00	1.566
17/12/2006	13:09:00	1.488
17/12/2006	13:10:00	1.494
17/12/2006	13:11:00	1.504
17/12/2006	13:12:00	1.498
17/12/2006	13:13:00	1.440
17/12/2006	13:14:00	1.440
17/12/2006	13:15:00	1.434
17/12/2006	13:16:00	1.446
17/12/2006	13:17:00	1.442
17/12/2006	13:18:00	1.434
17/12/2006	13:19:00	1.456
17/12/2006	13:20:00	1.462
17/12/2006	13:21:00	1.478
17/12/2006	13:22:00	1.470
17/12/2006	13:23:00	1.456
17/12/2006	13:24:00	1.450
17/12/2006	13:25:00	1.448
17/12/2006	13:26:00	1.442
17/12/2006	13:27:00	1.446
17/12/2006	13:28:00	1.446
17/12/2006	13:29:00	1.440
17/12/2006	13:30:00	1.440
17/12/2006	13:31:00	1.436
17/12/2006	13:32:00	1.440
17/12/2006	13:33:00	1.436
17/12/2006	13:34:00	1.434
17/12/2006	13:35:00	1.648
17/12/2006	13:36:00	1.734
17/12/2006	13:37:00	1.816
17/12/2006	13:38:00	1.808
17/12/2006	13:39:00	1.822
17/12/2006	13:40:00	1.822
